gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,tenure_bucket,service_count,revenue_to_date,contract_payment_risk,senior_high_charges,family_status,churn_actual,churn_proba,churn_pred,risk_category
Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,0-12m,1,156.0,0,0,Family,No,0.024117528696809755,0,Low
Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,12-24m,4,1365.0,1,0,Family,No,0.6050911411740598,1,High
Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,6816.95,48m+,6,7081.900000000001,0,0,Couple,No,0.21438109658065568,0,Low
Female,0,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),35.4,978.6,24-36m,2,920.4,0,0,Couple,No,0.13291942305814794,0,Low
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,0-12m,2,149.7,0,1,Single,Yes,0.6213842692281227,1,High
Female,0,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,12-24m,1,598.5,1,0,Couple,No,0.46116077291429797,1,Medium
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,48m+,1,982.45,0,0,Couple,No,0.02381834212544977,0,Low
Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,12-24m,1,415.8,0,0,Family,No,0.00750691054854204,0,Low
Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,48m+,1,3526.65,0,0,Couple,No,0.15733359344541048,0,Low
Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,12-24m,3,872.8,0,0,Couple,No,0.20736386884040983,0,Low
Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,12-24m,3,1963.5,1,0,Single,Yes,0.474375908380234,1,Medium
Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,12-24m,5,1329.25,0,0,Couple,Yes,0.5409485746772728,1,Medium
Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,36-48m,2,1079.3,0,0,Family,No,0.019895465878659157,0,Low
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,0-12m,3,268.35,1,0,Single,Yes,0.7060267683532834,1,High
Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,48m+,4,4862.7,1,1,Single,No,0.34974645137521376,1,Medium
Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,0-12m,0,24.2,0,0,Family,No,0.47425407145375226,1,Medium
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,48m+,1,1417.95,0,0,Family,No,0.018585753222368644,0,Low
Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,48m+,2,1450.8,0,0,Single,No,0.010722798067448166,0,Low
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,0-12m,3,180.8,1,0,Single,Yes,0.7467760733022302,1,High
Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,48m+,5,5958.2,0,1,Family,No,0.21415305444558005,0,Low
Male,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,0-12m,1,89.9,0,0,Single,Yes,0.5973726268439867,1,Medium
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.9,1356.7,48m+,1,1373.1,0,0,Family,No,0.0007482277899920403,0,Low
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,0-12m,2,74.5,1,0,Single,Yes,0.8403262760564221,1,Very High
Male,0,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.25,1715.65,24-36m,3,1712.75,1,0,Single,Yes,0.13072851518961306,0,Low
Male,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,48m+,1,1400.7,0,0,Single,No,0.006018484595139907,0,Low
Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,0-12m,4,182.9,1,0,Couple,No,0.782525217966059,1,High
Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,24-36m,1,2323.2000000000003,0,0,Single,No,0.3712187624465564,1,Medium
Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,0-12m,1,58.800000000000004,0,0,Couple,No,0.09164618409393639,0,Low
Male,0,No,No,44,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,65.4,2774.55,36-48m,4,2877.6000000000004,0,0,Single,No,0.08216917982162988,0,Low
Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,0-12m,7,1101.0,1,0,Single,Yes,0.6938571942291633,1,High
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.25,576.7,0-12m,2,602.0,1,0,Single,No,0.6361376245247033,1,High
Male,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95,0-12m,4,533.2,1,0,Single,No,0.23619604078948547,0,Low
Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,1442.65,48m+,1,1404.15,0,0,Family,No,0.03332720621382163,0,Low
Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,12-24m,2,1738.8,0,0,Single,Yes,0.2538934931262588,0,Low
Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,48m+,2,1656.6000000000001,0,0,Single,No,0.0043152560366451695,0,Low
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,0-12m,6,102.45,1,0,Family,Yes,0.7397385828331938,1,High
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,0-12m,1,59.849999999999994,0,0,Single,No,0.08655300732201834,0,Low
Female,0,No,Yes,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.0,286.8,0-12m,2,255.0,0,0,Family,No,0.30578250106905913,0,Medium
Female,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,51.2,51.2,0-12m,2,51.2,0,0,Family,No,0.447711911423758,1,Medium
Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,0-12m,2,698.85,0,0,Single,Yes,0.563670716581452,1,Medium
Male,0,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.7,2188.5,24-36m,4,2293.2000000000003,0,0,Family,No,0.09479432313910227,0,Low
Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),85.5,5696.6,48m+,4,5814.0,0,0,Family,No,0.11040778348947441,0,Low
Female,0,Yes,Yes,35,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,40.9,1383.6,24-36m,2,1431.5,0,0,Family,No,0.07713768585285678,0,Low
Male,0,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1205.05,48m+,1,1233.0,0,0,Family,No,0.005911483505604221,0,Low
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,74.55,5430.65,48m+,6,5367.599999999999,0,0,Family,No,0.01348525409090415,0,Low
Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,930.45,36-48m,1,917.9999999999999,0,0,Single,Yes,0.007300138422792578,0,Low
Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,36-48m,3,3374.4,0,0,Family,No,0.23427038693615593,0,Low
Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,0-12m,2,354.90000000000003,0,0,Family,No,0.196371368943307,0,Low
Female,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,151.3,0-12m,2,202.8,0,0,Single,Yes,0.3596144461563038,1,Medium
Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,54.9,0-12m,3,54.9,1,0,Single,Yes,0.5748917353227325,1,Medium
Female,0,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.4,272.15,0-12m,4,241.6,0,0,Single,Yes,0.20691425332618607,0,Low
Male,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.55,878.35,12-24m,2,891.9,0,0,Couple,Yes,0.16474772650724226,0,Low
Female,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,74.05,872.65,0-12m,5,888.5999999999999,0,0,Single,Yes,0.19731132997282994,0,Low
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.05,80.05,0-12m,2,80.05,0,0,Family,Yes,0.7845205760767188,1,High
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1738.9,48m+,2,1800.0,0,0,Family,No,0.0012102071022648947,0,Low
Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.25,835.5,36-48m,1,850.5,0,0,Couple,No,0.005938548407868893,0,Low
Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,12-24m,2,1826.3999999999999,1,1,Single,Yes,0.5064093369450257,1,Medium
Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),78.95,2034.25,24-36m,2,2052.7000000000003,0,0,Family,No,0.23196175749183276,0,Low
Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),73.0,5163.0,48m+,6,4964.0,0,0,Family,No,0.09722798612436767,0,Low
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,12-24m,1,338.29999999999995,0,0,Single,No,0.06875478548894334,0,Low
Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,111.1,6555.2,48m+,7,6554.9,0,0,Family,No,0.10700289445648441,0,Low
Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,12-24m,2,967.2,0,0,Family,Yes,0.43673681325634206,1,Medium
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,42.45,0-12m,1,40.9,0,0,Single,No,0.08592761133971,0,Low
Female,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,1335.2,48m+,1,1316.55,0,0,Couple,No,0.005270147405491374,0,Low
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,337.9,12-24m,1,340.85,0,0,Single,No,0.03345127364870215,0,Low
Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.1,5585.4,48m+,7,5687.099999999999,0,0,Couple,No,0.005354771664716493,0,Low
Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.6,1704.95,12-24m,5,1676.1999999999998,0,0,Family,Yes,0.23977203935393313,0,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,0-12m,3,89.55,1,0,Single,Yes,0.7740268689433479,1,High
Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,94.45,0-12m,1,118.19999999999999,0,0,Family,No,0.09125826557036937,0,Low
Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,48m+,7,6960.099999999999,1,0,Couple,No,0.3088826396422492,0,Medium
Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.85,401.3,0-12m,2,443.09999999999997,0,0,Single,No,0.6889874083401554,1,High
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,25.05,0-12m,0,25.05,0,0,Single,Yes,0.5944482095307903,1,Medium
Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.8,2110.15,12-24m,6,2158.7999999999997,1,0,Family,Yes,0.6054679767265935,1,High
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,6640.7,48m+,7,6648.0,0,0,Couple,No,0.1084232357833382,0,Low
Female,1,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,12-24m,3,1716.0,0,1,Single,Yes,0.432866447325738,1,Medium
Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.9,2234.95,12-24m,5,2109.8,0,0,Couple,No,0.2725041790903634,0,Low
Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,36-48m,1,824.0,0,0,Single,No,0.002184865731329454,0,Low
Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,12-24m,2,1723.8500000000001,1,0,Single,Yes,0.5027483233137287,1,Medium
Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,0-12m,1,45.95,0,0,Family,Yes,0.5248570195459658,1,Medium
Male,0,No,No,46,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,38.25,1755.35,36-48m,3,1759.5,0,0,Single,No,0.03381117627590173,0,Low
Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),69.95,320.4,0-12m,1,349.75,0,0,Family,No,0.5066292956299882,1,Medium
Male,1,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.0,1396.0,48m+,1,1360.0,0,0,Single,No,0.005624545201200513,0,Low
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.2,25.2,0-12m,0,25.2,1,0,Single,Yes,0.7670271214032418,1,High
Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.1,43.15,0-12m,1,40.2,0,0,Couple,No,0.08750415069747756,0,Low
Female,1,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,12-24m,6,1467.8999999999999,1,1,Single,Yes,0.6919090114161102,1,High
Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,740.0,0-12m,1,700.0,1,0,Single,Yes,0.55195532033852,1,Medium
Male,0,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,12-24m,2,1017.9,0,0,Family,No,0.42989076077929395,1,Medium
Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.8,3587.25,24-36m,7,3733.2,0,0,Single,Yes,0.2441909424243621,0,Low
Male,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,57.45,990.85,12-24m,3,1034.1000000000001,1,0,Family,Yes,0.3446045242049563,1,Medium
Male,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1301.1,48m+,1,1398.7,0,0,Family,No,0.003679571370882449,0,Low
Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.5,7752.05,48m+,7,7735.0,0,0,Couple,No,0.09741157994040663,0,Low
Female,0,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,64.3,3410.6,48m+,4,3343.6,0,0,Couple,No,0.045634992865251085,0,Low
Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.25,7173.15,48m+,6,7157.0,0,0,Family,No,0.06764572146150166,0,Low
Male,0,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.6,717.3,36-48m,1,744.8000000000001,1,0,Family,No,0.06164442074671275,0,Low
Female,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.5,1497.9,48m+,2,1421.0,0,0,Family,No,0.010291027117772897,0,Low
Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.7,237.65,0-12m,3,272.1,0,0,Single,No,0.6165688204384699,1,High
Male,0,Yes,No,14,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),48.8,664.4,12-24m,2,683.1999999999999,0,0,Couple,No,0.18432050646189288,0,Low
Male,0,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.9,49.7,0-12m,0,49.8,0,0,Single,No,0.6043649900302818,1,High
Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,0-12m,0,24.8,1,0,Couple,Yes,0.6561685560550855,1,High
Female,1,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),107.4,7748.75,48m+,7,7732.8,0,1,Single,No,0.06952976152379647,0,Low
Male,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.3,123.65,0-12m,1,129.89999999999998,1,0,Single,Yes,0.556175896578306,1,Medium
Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0,1029.35,12-24m,3,1040.0,0,0,Single,No,0.42274349271515094,1,Medium
Male,1,Yes,Yes,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.1,7447.7,48m+,6,7495.2,0,1,Family,No,0.07316819685120567,0,Low
Male,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75,1185.95,48m+,1,1203.5,0,0,Couple,No,0.018123462962414162,0,Low
Male,1,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),95.5,6707.15,48m+,5,6780.5,0,1,Couple,No,0.048051475097944926,0,Low
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.35,76.35,0-12m,2,76.35,1,0,Single,Yes,0.8076496518749184,1,Very High
Female,0,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),91.3,4965.0,48m+,8,4930.2,0,0,Family,No,0.024433971964865284,0,Low
Male,0,No,Yes,39,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),45.05,1790.6,36-48m,3,1756.9499999999998,0,0,Family,No,0.04789545116883976,0,Low
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.6,70.6,0-12m,1,70.6,1,0,Single,Yes,0.7828090165589916,1,High
Male,0,Yes,No,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),80.8,4860.85,48m+,7,4928.8,0,0,Couple,No,0.01737551188442903,0,Low
Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.15,2257.75,24-36m,4,2228.75,0,0,Family,Yes,0.31028900758948197,0,Medium
Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),91.2,3382.3,36-48m,5,3374.4,0,0,Single,No,0.21883734131539334,0,Low
Female,1,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,2351.8,24-36m,3,2372.5,1,1,Single,Yes,0.516886811530792,1,Medium
